Simetriile intelepciunii;2;27;9786067116526;1;2;;1;1;0
Papa Inocentiu al III-lea;2;43;9786067116656;1;2;;1;1;0
Mic tratat de estetica teologica ed.III;2;43;9786067114768;1;2;;1;1;0
Model, chip, sens;2;32;9786067117417;1;2;;1;1;0
Actualitatea apocatastazei;2;37;9786064904218;1;2;;1;1;0
Experienta religioasa in gandirea lui Dumitru Staniloaie;2;27;9786067114713;1;2;;1;1;0
Filosofie si pandemie;2;27;9786064905130;1;2;;1;1;0
Intre moartea politicii si moartea lui Dumnezeu;2;27;9786067116571;1;2;;1;1;0
Universalism romanesc;2;22;9789737579577;1;2;;1;1;0
Altul decat Dumnezeu;2;27;9786067117349;1;2;;1;1;0
Caile adevaratei rugaciuni;2;30;9786069659342;1;2;;1;1;0
Lumea ca o zi de vineri;2;26;9786069746011;1;2;;1;1;0
Minciuni, Impostura, Prostie;2;27;9786069659250;1;2;;1;1;0
Pentru o cultura a familiei: limbajul iubirii;2;27;9789731412443;1;2;;1;1;0
Ortodoxia, antidot al sufletului intristat;2;25;9786066669320;1;2;;1;1;0
Destinul erosului: perspective de morala sexuala;2;31;9789731412405;1;2;;1;1;0
